{}
Account Number	Account Name	Header	Balance	Account Type	Last Cheque Number	Tax Code	Inactive Account	AccountantLink Code	BSB Number	B/Account Number	B/Account Name	Company Trading Name	Create Bank Files	Bank Code	Direct Entry User ID	Self Balancing Transaction	Description	Classification for Statement of Cash Flow	Subtotal Header Accounts
10000	Assets	H	$10,549,339.09	Asset			N												Y
10003	 Current Assets	H	$4,982,818.59	Asset			N												Y
10005	Cash at Bank	H	$1,303,068.17	Asset			N						N			N	Derived from QuickBooks account Cash at Bank , of type Bank, with cash flow classification NotApplicable		Y
10020	Bendigo Bank Capacity Builder		$653,839.35	Bank	0	N-T	N						N			N	Derived from QuickBooks account Bendigo Bank Capacity Builder , of type Bank, with cash flow classification NotApplicable		
10025	Bendigo Bank Gift Fund		$11,768.82	Bank	0	N-T	N						N			N	Derived from QuickBooks account Bendigo Bank Gift Fund (Gift Fund), of type Bank, with cash flow classification NotApplicable		
10030	Bendigo Bank Trading Account		$637,460.00	Bank	0	N-T	N		633-000	132011594	ARALUEN CENTRE	ARALUEN CENTRE	Y	BBL	343522	Y	Derived from QuickBooks account Bendigo Bank Trading Account , of type Bank, with cash flow classification NotApplicable		
10035	Total Cash on Hand	H	$0.00	Asset			N												Y
10040	Accom Service Advances	H	$7,455.76	Asset			N						N			N	Derived from QuickBooks account Accom Service Advances (Housekeeping Advances), of type Bank, with cash flow classification NotApplicable		Y
10050	Carwarp Street Bank Account		$1,093.45	Bank	0	N-T	N						N			N	Derived from QuickBooks account Carwarp Street Bank Account , of type Bank, with cash flow classification NotApplicable		
10055	Cawarp Street Petty Cash		$0.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Cawarp Street , of type Bank, with cash flow classification NotApplicable		
10060	Fraser Bank Account		$1,324.53	Bank	0	N-T	N						N			N	Derived from QuickBooks account Fraser Bank Account , of type Bank, with cash flow classification NotApplicable		
10065	Fraser House Petty Cash		$0.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Fraser House , of type Bank, with cash flow classification NotApplicable		
10070	Greenwood Bank Account		$2,265.40	Bank	0	N-T	N						N			N	Derived from QuickBooks account Greenwood Bank Account , of type Bank, with cash flow classification NotApplicable		
10075	Greenwood Drive Petty Cash		$0.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Greenwood Drive , of type Bank, with cash flow classification NotApplicable		
10080	Rattray Road Petty Cash		$0.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Rattray Road , of type Bank, with cash flow classification NotApplicable		
10085	Rattray Road Bank Account		$2,772.38	Bank	0	N-T	N						N			N	Derived from QuickBooks account Rattray Road Bank Account , of type Bank, with cash flow classification NotApplicable		
10090	ATSS Programme Advances	H	$3,779.81	Asset			N						N			N	Derived from QuickBooks account ATSS Programme Advances (Programme Funds Advanced), of type Bank, with cash flow classification NotApplicable		Y
10095	ATSS Programme Advances		$0.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account ATSS Programme Advances (Programme Funds Advanced), of type Bank, with cash flow classification NotApplicable		
10100	Diamond Creek PA		$341.98	Bank	0	N-T	N						N			N	Derived from QuickBooks account Diamond Creek , of type Bank, with cash flow classification NotApplicable		
10105	Hurstbridge PA		$298.08	Bank	0	N-T	N						N			N	Derived from QuickBooks account Hurstbridge , of type Bank, with cash flow classification NotApplicable		
10110	Lower Plenty Site PA		$1,125.60	Bank	0	N-T	N						N			N	Derived from QuickBooks account Lower Plenty Site , of type Bank, with cash flow classification NotApplicable		
10115	Primed PA		$318.42	Bank	0	N-T	N						N			N	Derived from QuickBooks account Primed , of type Bank, with cash flow classification NotApplicable		
10120	Rosanna Site PA		$1,695.73	Bank	0	N-T	N						N			N	Derived from QuickBooks account Rosanna Site , of type Bank, with cash flow classification NotApplicable		
10125	Petty Cash	H	$1,595.00	Asset			N						N			N	Derived from QuickBooks account Petty Cash , of type Bank, with cash flow classification NotApplicable		Y
10145	Administration PC		$400.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Administration , of type Bank, with cash flow classification NotApplicable		
10150	Chancez-Epping PC		$400.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Chancez-Epping , of type Bank, with cash flow classification NotApplicable		
10155	Diamond Creek PC		$235.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Diamond Creek , of type Bank, with cash flow classification NotApplicable		
10160	Lwr Plenty PC		$160.00	Bank	0	N-T	N						N			N	Derived from QuickBooks account Lwr Plenty , of type Bank, with cash flow classification NotApplicable		
