AssignedBusinessUnitsID|ClientID|BusinessUnitID|h_client_sid|h_business_unit_sid|l_client_business_unit_sid|WORKFLOW_PATH|WORKFLOW_NAME|WORKSPACE|LOAD_DATE_TIME
2|2|1|da4b9237bacccdf19c0760cab7aec4a8359010b0|356a192b7913b04c54574d18c28d46e6395428ab|da4b9237bacccdf19c0760cab7aec4a8359010b0|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
3|2|5|da4b9237bacccdf19c0760cab7aec4a8359010b0|ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4|77de68daecd823babbb58edb1c8e14d7106e83bb|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
4|22|5|12c6fc06c99a462375eeb3f43dfd832b08ca9e17|ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4|1b6453892473a467d07372d45eb05abc2031647a|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
6|54|7|80e28a51cbc26fa4bd34938c5e593b36146f5e0c|902ba3cda1883801594b6e1b452790cc53948fda|c1dfd96eea8cc2b62785275bca38ac261256e278|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
7|54|6|80e28a51cbc26fa4bd34938c5e593b36146f5e0c|c1dfd96eea8cc2b62785275bca38ac261256e278|902ba3cda1883801594b6e1b452790cc53948fda|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
8|6|6|c1dfd96eea8cc2b62785275bca38ac261256e278|c1dfd96eea8cc2b62785275bca38ac261256e278|fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
9|98|1|31bd9b9f5f7b338e41b56183a2f3008b541d7c84|356a192b7913b04c54574d18c28d46e6395428ab|0ade7c2cf97f75d009975f4d720d1fa6c19f4897|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
10|5|6|ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4|c1dfd96eea8cc2b62785275bca38ac261256e278|b1d5781111d84f7b3fe45a0852e59758cd7a87e5|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
11|240|4|cae91e45aed80f3a3fe285c3c8c1a7e78d82d473|1b6453892473a467d07372d45eb05abc2031647a|17ba0791499db908433b80f37c5fbc89b870084b|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
12|240|3|cae91e45aed80f3a3fe285c3c8c1a7e78d82d473|77de68daecd823babbb58edb1c8e14d7106e83bb|7b52009b64fd0a2a49e6d8a939753077792b0554|/Datavault/links/Participant 2 Business Unit/Participant 2 Business Unit CSM Snowflake|Participant 2 Business Unit CSM Snowflake|C:\BI_and_Data_Analytics\Workflows|2018-07-18 11:49:48.0
