"ACCOUNT_NAME"|"ACCOUNT_TYPE"|"ACCOUNT_DESCRIPTION"|"PARENT_ACCOUNT_ID"|"IS_INACTIVE"|"ACCOUNT_LEVEL"|"SUB_TYPE"|"IS_HEADER"|"ACCOUNT_BK"|"H_ACCOUNT_SID"|"H_PARENT_ACCOUNT_SID"|"WORKFLOW_PATH"|"WORKFLOW_NAME"|"WORKSPACE"|"SOURCE"|"LOAD_DATE_TIME"
"Assets"|"Asset"|""||false|1|"OtherAsset"|true|"1-0000"|"927f9246e7015a542e5ee7be43f877c6e7a0836b"||"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
" Current Assets"|"Asset"|""|"1-0000"|false|2|"OtherAsset"|true|"1-0003"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"927f9246e7015a542e5ee7be43f877c6e7a0836b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Cash at Bank"|"Asset"|"Derived from QuickBooks account Cash at Bank , of type Bank, with cash flow classification NotApplicable"|"1-0003"|false|3|"OtherAsset"|true|"1-0005"|"be0828e5eeb2936cd3a6b07491d3b3272fca191b"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Bendigo Bank Capacity Builder"|"Asset"|"Derived from QuickBooks account Bendigo Bank Capacity Builder , of type Bank, with cash flow classification NotApplicable"|"1-0005"|false|4|"Bank"|false|"1-0020"|"fe6a8021bdc6f62be8f77ce1add91abcfd4d2673"|"be0828e5eeb2936cd3a6b07491d3b3272fca191b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Bendigo Bank Gift Fund"|"Asset"|"Derived from QuickBooks account Bendigo Bank Gift Fund (Gift Fund), of type Bank, with cash flow classification NotApplicable"|"1-0005"|false|4|"Bank"|false|"1-0025"|"cab3333369de6f155bc7a7dc199387aeeda2c5df"|"be0828e5eeb2936cd3a6b07491d3b3272fca191b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Bendigo Bank Trading Account"|"Asset"|"Derived from QuickBooks account Bendigo Bank Trading Account , of type Bank, with cash flow classification NotApplicable"|"1-0005"|false|4|"Bank"|false|"1-0030"|"940418e88cde3e5227e9650b9863255e53780cff"|"be0828e5eeb2936cd3a6b07491d3b3272fca191b"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Total Cash on Hand"|"Asset"|""|"1-0003"|false|3|"OtherCurrentAsset"|true|"1-0035"|"650670b3e4300d4a6890b847c757262279aafde9"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Accom Service Advances"|"Asset"|"Derived from QuickBooks account Accom Service Advances (Housekeeping Advances), of type Bank, with cash flow classification NotApplicable"|"1-0003"|false|3|"OtherAsset"|true|"1-0040"|"983bda976b7447089bd275bc741f00b83baad3dc"|"d4a6403e3193b59c40b7974e0a344131f7085593"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Carwarp Street Bank Account"|"Asset"|"Derived from QuickBooks account Carwarp Street Bank Account , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0050"|"c74f16fc0bbda6491b925163d7837405639ebad7"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
"Cawarp Street Petty Cash"|"Asset"|"Derived from QuickBooks account Cawarp Street , of type Bank, with cash flow classification NotApplicable"|"1-0040"|false|4|"Bank"|false|"1-0055"|"c4f42c585cb47bb20b4a5c9b6d3d03f65ba7b4dd"|"983bda976b7447089bd275bc741f00b83baad3dc"|"/Source_Systems/Finance/MYOB/accounts"|"accounts"|"D:\BI_and_Data_Analytics\Workflows"|"MYOB"|"2018-08-02 16:21:38.0"
